energy,makespan
1.7490543620912334e8,4674.719999999999
1.7491642176401967e8,4384.08
1.750908278375793e8,4166.48
1.751254613504017e8,4163.29
1.7572035328054032e8,3848.23
1.76146549892053e8,3760.7400000000002
1.7631407552340567e8,3709.38
1.7675678961142498e8,3544.5099999999998
1.769470479108343e8,3505.7300000000005
1.7722072580294833e8,3460.27
1.774885947149803e8,3393.33
1.7749869926692232e8,3392.65
1.7778096195362934e8,3372.25
1.778036553243e8,3360.51
1.7826091393676668e8,3301.87
1.7865635068101418e8,3257.79
1.793866782387973e8,3241.28
1.817389149941763e8,3054.59
1.823951847772023e8,3009.76
1.842264179490435e8,2929.96
