energy,makespan
161544066.7,9872.47
161574171,8499.77
161602250,8391.19
161662259.2,8252.12
161768680.4,8098.2
161966685,7938.35
162338410.7,7711.99
162999068,7357.23
166711660.2,5473.59
168036546.4,4883.31
168286202.3,4791.51
168423586.8,4751.28
168505715.8,4722.58
168584275.5,4689.36
168714365.3,4674.72
169518934.9,4455.38
170552970.4,4166.48
170634766.2,4151.36
170725397.4,4123.42
172137264.7,3879.8
172779182.1,3760.74
173033492.3,3720.15
173873175.6,3598.91
174347945.8,3544.51
174868984.7,3490.11
175441878.3,3437.74
176047334.6,3372.25
176099197.5,3366.19
176114126.3,3360.51
176835099.3,3301.87
177402549.8,3257.79
177819930.2,3206.43
178408186.6,3164.99
181061918.4,3054.59
182504010.8,3009.76
183976723.5,2929.96
