gamma,profit (upper),energy (upper),makespan (upper),profit (integer),energy (integer),makespan (integer),profit (lower),energy (lower),makespan (lower),profit (pareto),energy (pareto),makespan (pareto)
1.01,186.6250427,161574171,8494.7675,186.6250427,161574171,8494.7675,186.5152054,161574171,8499.77,186.6250427,161574171,8494.7675
1.06,1172.02856,161768682.8,8078.325206,1172.012861,161768680.4,8078.4355,1169.152442,161768680.4,8098.2,1172.02856,161768682.8,8078.325206
1.11,2312.454797,168034493.7,4877.6825,2311.152657,168036546.4,4879.5425,2309.36959,168036546.4,4883.31,2312.454797,168034493.7,4877.6825
1.16,4073.797045,170553557.3,4133.136695,4071.979661,170552970.4,4135.1255,4041.336315,170552970.4,4166.48,4073.797045,170553557.3,4133.136695
1.21,6109.838471,172958734.9,3684.153998,6102.975802,172963295.3,3687.5495,5984.201345,172963295.3,3760.74,6109.838471,172958734.9,3684.153998
1.26,8326.737868,174342470,3507.14223,8315.080611,174347945.8,3511.4005,8237.408899,174347945.8,3544.51,8326.737868,174342470,3507.14223
1.31,10671.34303,176834702.7,3259.948119,10659.88321,176835099.3,3263.4155,10535.73524,176835099.3,3301.87,10671.34303,176834702.7,3259.948119
1.36,13217.01068,178374409,3126.692013,13203.07602,178368051.1,3130.4735,12751.71525,178368051.1,3241.28,13217.01068,178374409,3126.692013
1.41,15801.23252,178417087.9,3123.809874,15783.74669,178408186.6,3127.8345,15598.4529,178408186.6,3164.99,15801.23252,178417087.9,3123.809874
1.46,18404.81529,179372539,3068.859833,18393.81495,179371902.6,3070.72975,17425.96591,179371902.6,3241.28,18404.81529,179372539,3068.859833
