energy,makespan
161544066.7,9852.5275
161574171,8494.7675
161602250,8356.501
161662259.2,8233.125
161768680.4,8078.4355
161966685,7914.599
162338410.7,7693.84975
162999068,7340.5775
166711660.2,5458.0175
168036546.4,4879.5425
168286202.3,4780.0115
168423586.8,4731.18
168505715.8,4702.421
168584275.5,4674.515
168714365.3,4633.5575
169518934.9,4417.9225
170552970.4,4135.1255
170634766.2,4119.5495
170725397.4,4102.19175
172137264.7,3839.1815
172779182.1,3720.5515
172963295.3,3687.5495
172981920.2,3683.4215
173033492.3,3679.02125
173302392,3640.9285
173873175.6,3568.6295
174347945.8,3511.4005
174868984.7,3455.5495
175441878.3,3395.528
176047334.6,3338.011
176099197.5,3332.9615
176835099.3,3263.4155
177402549.8,3209.3895
177819930.2,3173.90275
178226174.4,3139.917
178368051.1,3130.4735
178408186.6,3127.8345
179048565.8,3090.86625
179371902.6,3070.72975
180411043.6,3017.33025
181061918.4,2982.5015
182504010.8,2913.46375
183702180.7,2864.24875
183808449.3,2858.2435
183976723.5,2853.166
184442788.6,2852.50925
189656173,2841.75375
191830779.2,2839.82675
192115181.8,2838.7495
