gamma,profit (upper),energy (upper),makespan (upper),profit (integer),energy (integer),makespan (integer),profit (lower),energy (lower),makespan (lower),profit (pareto),energy (pareto),makespan (pareto)
0.9,-2762.7918933853457,1.8003310433735892e8,8233.125,-2762.8110714106683,1.8003326223243865e8,8233.125,-2763.8482226027704,1.8009430052483547e8,8252.119999999999,-3773.471661438194,1.7476299258903426e8,4631.358289369734
0.9500000000000001,-1676.1791287132457,1.7832783014642477e8,7339.9,-1676.1993812296612,1.7832797879787e8,7339.900000000001,-1679.8202367975612,1.7838366680035654e8,7357.23,-1886.7358307190725,1.7476299258903408e8,4631.358289369731
1.,-1.930469671679257e-11,1.747629925890342e8,4631.358289369733,-2.195411189108455,1.74773165153015e8,4633.5575,-30.471048552482877,1.7490543620912337e8,4674.719999999999,6.434898905597526e-12,1.7476299258903408e8,4631.358289369731
1.05,2063.6165733647945,1.756251019322503e8,3816.6199999999994,2061.8602029443146,1.7562671356695333e8,3819.0895000000005,2021.913694853321,1.7572035328054044e8,3848.23,2063.616573364801,1.7562510193225026e8,3816.620000000002
1.1,4450.2017376457325,1.7663180140375146e8,3507.1422295661614,4439.509501814309,1.76650395963512e8,3511.4005000000006,4368.023291375274,1.7675678961142495e8,3544.5099999999998,4450.20173764573,1.766318014037515e8,3507.1422295661578
1.15,6992.793500810929,1.776881456743744e8,3330.470977058602,6984.043167708282,1.7769989448507947e8,3332.9615,6883.381791076555,1.7780667052608523e8,3366.19,6992.793500810924,1.7768814567437443e8,3330.4709770585996
1.2000000000000002,9715.416892426729,1.7914948234119865e8,3146.144844228859,9702.090596542426,1.7916689010404453e8,3148.6720000000005,9333.07694140314,1.794644754782098e8,3241.28,9715.416892426752,1.791494823411986e8,3146.1448442288574
1.25,12502.742349494003,1.7936151608582297e8,3126.6920134566926,12485.614240205234,1.793678562261075e8,3130.4735,11948.92767876704,1.797239204296586e8,3241.28,12502.742349493996,1.79361516085823e8,3126.6920134566917
1.3,15335.938419062402,1.809729654878145e8,3013.765679997792,15311.466670861046,1.809921388078885e8,3017.330250000001,14031.528984815492,1.817117760978416e8,3241.28,15335.93841906237,1.809729654878146e8,3013.765679997791
1.35,18294.1511923607,1.8216799050797617e8,2938.7561588356143,18261.38838395568,1.8218157405087218e8,2943.28475,17787.08442466965,1.8239518477720234e8,3009.76,18294.151192360707,1.8216799050797617e8,2938.756158835613
1.4,21307.86678134036,1.836563922159782e8,2863.3461075558507,21288.072726828046,1.8366335344072205e8,2865.6815,20115.17734205388,1.8412633346762764e8,3009.76,21307.86678134033,1.8365639221597832e8,2863.3461075558494
1.4500000000000002,24361.92353960032,1.8381403709265804e8,2856.6012880025305,24347.75720262076,1.838145204901305e8,2858.2435,22960.281737440193,1.843014016920215e8,3009.76,24361.92353960035,1.8381403709265807e8,2856.601288002526
1.5,27420.89902482242,1.8381510630717835e8,2856.5577848292337,27404.931872816527,1.838145204901305e8,2858.2435,25863.552971509253,1.843014016920215e8,3009.76,27420.89902482239,1.8381510630717844e8,2856.557784829234
